instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Sherman College of Straight Chiropractic,South Carolina,,7767046.002,407,98,-81.983252,35.01431,
Spartanburg Methodist College,South Carolina,6410,7512102.002,503,113,-81.974609,34.955352,
Spartanburg Technical College,South Carolina,3360,19234454.67,2991,409,-81.992943,34.97227,
Central Carolina Technical College,South Carolina,3182,15108828,2154,226,-80.369605,33.933102,
Sumter Beauty College,South Carolina,,239274.003,50,,-80.351465,33.944855,
Tri-County Technical College,South Carolina,4410,22061030,3654,424,-82.76653,34.60897,
Trident Technical College,South Carolina,3384,49896847,9882,1058,-80.031715,32.924123,
Voorhees College,South Carolina,5860,21245142,931,155,-81.12878,33.30693,
Williamsburg Technical College,South Carolina,3300,5003786.001,643,135,-79.817366,33.653627,
Winthrop University,South Carolina,7414,59826299,5839,710,-81.00228,34.94654,
Wofford College,South Carolina,16410,37378696,1103,300,-81.937337,34.957217,
York Technical College,South Carolina,3432,22200027,3523,425,-80.998242,34.948603,
Augustana College,South Dakota,13960,29518610,1774,377,-96.736273,43.52661,
Black Hills Beauty College,South Dakota,,436062.003,63,,-103.22831,44.07992,
Black Hills State University,South Dakota,7035,24232434,3785,309,-103.870398,44.495655,
Kilian Community College,South Dakota,5400,999622.002,212,67,-96.722843,43.551231,
Dakota State University,South Dakota,5941,15348148,1920,229,-97.109664,44.0134,
Dakota Wesleyan University,South Dakota,9916,12194082,715,124,-98.032648,43.698835,
Headlines Academy of Cosmetology & Massage,South Dakota,,178292.003,34,,-103.225715,44.080852,
Lake Area Technical Institute,South Dakota,1890,7339868.861,1038,122,-97.096448,44.902248,
Avera McKennan Hospital School of Radiologic Technology,South Dakota,625,15750.002,19,,-96.714981,43.533731,
Mitchell Technical Institute,South Dakota,2752,7169785.001,854,91,-98.017119,43.717061,
Mount Marty College,South Dakota,9248,9844773.002,1013,139,-97.411406,42.876148,
National American University-Rapid City,South Dakota,8880,6589793.003,937,199,-103.222473,44.078063,
National American University-Sioux Falls,South Dakota,8400,1995043.003,334,66,-96.71729,43.4884,
North American Baptist Seminary,South Dakota,,2825841.002,132,48,-96.736277,43.52574,
Northern State University,South Dakota,5569,20704785,3144,289,-98.483697,45.452739,
Oglala Lakota College,South Dakota,1920,13886407,1198,148,-102.240286,43.366642,
Presentation College,South Dakota,7502,6057088.002,471,120,-98.487934,45.481074,
Avera Sacred Heart Hospital,South Dakota,,15000.002,11,,-97.407032,42.872566,
South Dakota School of Mines and Technology,South Dakota,5940,26961537,2272,405,-103.207304,44.076214,
South Dakota State University,South Dakota,5940,118553917,8497,2067,-96.78626,44.31697,
Sinte Gleska University,South Dakota,1632,9673308.002,910,229,-100.623539,43.299484,
University of Sioux Falls,South Dakota,11544,13437544,1107,190,-96.738144,43.533074,
Sioux Valley Hospital-School of Radiologic Technology,South Dakota,,14808.002,22,,-96.743126,43.536679,
Sisseton Wahpeton College,South Dakota,2880,1465781.001,219,,-97.060835,45.562731,
Southeast Technical Institute,South Dakota,1890,12620392,2244,235,-96.780285,43.570711,
Stewart School,South Dakota,7624,1387417.003,88,,-96.746651,43.5545,
University of South Dakota,South Dakota,5940,87352018,6904,1100,-96.927382,42.782559,
Western Dakota Technical Institute,South Dakota,1872,7514346.001,997,137,-103.183257,44.077975,
American Baptist College,Tennessee,2780,1205989.002,,,-86.783664,36.197646,
Aquinas College,Tennessee,9000,2921351.002,329,56,-86.839647,36.129728,
Arnolds Beauty School,Tennessee,,542953.003,84,,-88.759144,35.918242,
Tennessee Technology Center at Athens,Tennessee,868,1468862.001,150,,-84.630527,35.443772,
Austin Peay State University,Tennessee,7700,56028697,7440,731,-87.35373,36.531434,
Baptist Memorial College of Health Sciences,Tennessee,4352,8925445.002,488,102,-90.029204,35.139064,
Belmont University,Tennessee,11300,45959094,3026,718,-86.795728,36.134154,
Bethel College,Tennessee,7800,8243807.002,772,136,-88.516718,36.136806,
Bryan College,Tennessee,11200,9717877.002,550,144,-84.998386,35.496087,
Carson-Newman College,Tennessee,10960,32892764,2205,454,-83.492202,36.122269,
Chattanooga State Technical Community College,Tennessee,3611,32896502,8162,509,-85.235488,35.095898,
Christian Brothers University,Tennessee,13140,26779375,1992,265,-89.983777,35.128436,
Church of God Theological Seminary,Tennessee,,2547716.002,310,34,-84.868904,35.162469,
Cleveland State Community College,Tennessee,3768,16138888,3260,345,-84.876113,35.204264,
Columbia State Community College,Tennessee,4902,22083102,4299,291,-87.099981,35.618639,
Concorde Career College,Tennessee,,2743000.003,452,,-89.892657,35.111403,
Tennessee Technology Center at Covington,Tennessee,,970135.001,134,,-89.61721,35.627167,
Cumberland University,Tennessee,9850,15978322,1315,200,-86.29925,36.20564,
Lipscomb University,Tennessee,9345,59228453,2504,565,-86.80091,36.10539,
Tennessee Technology Center at Dickson,Tennessee,,2185800.001,259,,-87.36547,36.051187,
Draughons Junior College Inc,Tennessee,4800,3892866.003,848,120,-86.722207,36.132547,
Dyersburg State Community College,Tennessee,4786,13463672,2153,182,-89.3931,36.04846,
East Tennessee State University,Tennessee,7136,167642275,11423,2531,-82.370737,36.301866,
Electronic Computer Programming College Inc,Tennessee,5616,1033179.003,173,22,-85.242348,35.022526,
Tennessee Technology Center at Elizabethton,Tennessee,980,1696876.001,364,,-82.176758,36.367119,
Emmanuel School of Religion,Tennessee,,6274550.002,120,53,-82.29847,36.3019,
Fayetteville Beauty School,Tennessee,,320099.003,53,,-86.57194,35.152454,
Fisk University,Tennessee,8480,17485587,886,,-86.803333,36.166544,
Free Will Baptist Bible College,Tennessee,5670,4080162.002,333,80,-86.826622,36.134095,
Freed-Hardeman University,Tennessee,7328,26954360,1831,292,-88.639006,35.440791,
Tennessee Technology Center at Harriman,Tennessee,980,1425451.001,148,,-84.525012,35.960683,
Tennessee Technology Center at Hartsville,Tennessee,868,1051315.001,119,,-86.143645,36.388849,
Hiwassee College,Tennessee,6060,5265392.002,467,111,-84.362603,35.559162,
Tennessee Technology Center at Hohenwald,Tennessee,868,2253771.001,309,,-87.573471,35.550744,
Tennessee Technology Center at Jacksboro,Tennessee,868,1366958.001,168,,-84.207922,36.318079,
Jackson State Community College,Tennessee,4902,24758612,3869,315,-88.78003,35.64558,
John A Gupton College,Tennessee,,799065.002,77,18,-86.794671,36.156409,
Johnson Bible College,Tennessee,4740,6234356.002,575,124,-83.749385,35.93717,
Jon Nave University of Unisex Cosmetology,Tennessee,,13136074,43,,-86.642633,36.038256,
King College,Tennessee,10030,17292459,587,125,-82.154681,36.587659,
South College,Tennessee,7500,3118107.003,358,54,-83.977389,35.959152,
KNOXVILLE INSTITUTE OF HAIR DESIGN,Tennessee,,177117.003,40,,-83.929567,35.981777,
Lambuth University,Tennessee,7818,11523064.33,975,190,-88.826646,35.62401,
Lane College,Tennessee,5600,11341879,666,149,-88.807201,35.627755,
Le Moyne-Owen College,Tennessee,6900,12261885,1013,215,-90.034458,35.119371,
Lee University,Tennessee,6118,36030093,3259,465,-84.87237,35.165662,
Lincoln Memorial University,Tennessee,8520,15574184,1701,271,-83.656493,36.580144,
Tennessee Technology Center at Livingston,Tennessee,868,2129412.001,473,,-85.318422,36.395679,
Martin Methodist College,Tennessee,8500,7311560.002,550,84,-87.035234,35.200278,
Maryville College,Tennessee,15600,19849351,1001,243,-83.960909,35.75493,
Tennessee Technology Center at McKenzie,Tennessee,880,1231165.001,134,,-88.493625,36.138412,
Middle Tennessee School of Cosmetology,Tennessee,,63440.003,10,,-85.485481,36.175778,
Meharry Medical College,Tennessee,,83606360,900,964,-86.80551,36.16635,
Memphis College of Art,Tennessee,11940,5309706.002,290,77,-89.996003,35.142346,
Tennessee Technology Center at Memphis,Tennessee,812,5531897.001,807,,-90.041492,35.15071,
University of Memphis,Tennessee,7518,218286064,20301,4377,-89.938015,35.118884,
Memphis Theological Seminary,Tennessee,,2309680.002,267,43,-89.982665,35.133072,
Crichton College,Tennessee,7512,6157083.002,896,117,-89.944894,35.139323,
Middle Tennessee State University,Tennessee,7136,156058620,18993,1935,-86.370101,35.843339,
Middle Tennessee School of Anesthesia Inc,Tennessee,,1246970.002,39,28,-86.685354,36.254085,
Milligan College,Tennessee,11110,12508968,914,187,-82.29499,36.30036,
Tennessee Technology Center at Morristown,Tennessee,943,3824769.001,787,,-83.297445,36.205116,
Motlow State Community College,Tennessee,3588,15859772,3388,378,-86.299325,35.362841,
Tennessee Technology Center at Murfreesboro,Tennessee,880,1923191.001,283,,-86.409803,35.846113,
Nashville Auto Diesel College Inc,Tennessee,,15933611,1401,216,-86.743547,36.194188,
Nashville College of Medical Careers,Tennessee,,463013.003,110,,-86.705713,36.291643,
Nashville State Technical Community College,Tennessee,4786,21880794.03,7402,555,-86.858256,36.134865,
Tennessee Technology Center at Newbern,Tennessee,868,1276761.001,190,,-89.261344,36.118052,
O'More College of Design,Tennessee,9000,1347121.002,140,53,-86.868715,35.920239,
Tennessee Technology Center at Paris,Tennessee,980,1948939.001,335,,-88.294133,36.306473,
Plaza Beauty School,Tennessee,,366071.003,75,,-89.905824,35.11141,
Tennessee Technology Center at Pulaski,Tennessee,868,1442735.001,172,,-87.009255,35.192575,
Rhodes College,Tennessee,18561,29668294,1510,382,-89.9926,35.15218,
Tennessee Technology Center at Ripley,Tennessee,968,1170289.001,88,,-89.514389,35.775579,
Roane State Community College,Tennessee,3588,29026065.44,5363,405,-84.617104,35.880541,
Tennessee Technology Center at Crump,Tennessee,868,1507090.001,157,,-88.319518,35.222001,
Southwest Tennessee Community College,Tennessee,4786,23323825,4406,313,-90.036605,35.138772,
Tennessee Technology Center at Shelbyville,Tennessee,868,1829529.001,309,,-86.421436,35.484289,
Sewanee:  The University of the South,Tennessee,18900,52651481,1438,592,-85.921072,35.203844,
Tennessee Technology Center at Oneida-Huntsville,Tennessee,868,1213559.001,202,,-84.529081,36.40873,
Tennessee Technology Center at Crossville,Tennessee,880,2057283.001,285,,-85.039147,35.947764,
Tennessee Technology Center at McMinnville,Tennessee,868,1112152.001,155,,-85.745473,35.700803,
Tennessee Technology Center at Jackson,Tennessee,968,3242872.001,550,,-88.920697,35.607731,
Tennessee Technology Center at Knoxville,Tennessee,868,3004817.001,563,,-83.965499,35.957534,
Tennessee Technology Center at Whiteville,Tennessee,914,1364612.001,167,,-89.160655,35.318398,
Pellissippi State Technical Community College,Tennessee,4660,30107477,7902,773,-84.160901,35.946816,
Southern Adventist University,Tennessee,10300,39454730,1781,309,-85.051612,35.048288,
Southern College of Optometry,Tennessee,,14729331,481,131,-90.01976,35.13923,
Tennessee Wesleyan College,Tennessee,7400,8444644.002,835,88,-84.596601,35.443609,
The University of Tennessee,Tennessee,6068,1182112233,42898,18685,-83.925728,35.957122,
Fountainhead College of Technology,Tennessee,,530000.003,94,13,-83.922443,36.027826,
Tennessee School of Beauty of Knoxville Inc,Tennessee,,933334.003,158,,-83.992418,35.974915,
Tennessee State University,Tennessee,7558,107687751,8836,1287,-86.828762,36.166747,
Tennessee Technological University,Tennessee,7136,81954909,8584,1470,-85.503991,36.174279,
Tennessee Temple University,Tennessee,4650,5607317.002,629,146,-85.277637,35.033084,
Trevecca Nazarene University,Tennessee,10016,18766297.16,1615,272,-86.753913,36.145928,
Northeast State Technical Community College,Tennessee,3588,15609006,4070,205,-82.410253,36.484482,
Tusculum College,Tennessee,12500,19305374,1562,211,-82.759787,36.174223,
Union University,Tennessee,10220,26994269,2297,,-88.857891,35.681632,
New Concepts School of Cosmetology,Tennessee,,135356.003,42,,-84.89501,35.153417,
Vanderbilt University,Tennessee,22990,1790917537,10022,15213,-86.801218,36.150371,
Volunteer State Community College,Tennessee,4786,25144818,6655,628,-86.495759,36.361947,
Walters State Community College,Tennessee,4786,31601012,5607,568,-83.257368,36.216824,
West Tennessee Business College,Tennessee,,1687073.003,288,,-88.848411,35.634492,
William Moore College of Technology,Tennessee,1095,707815.002,162,18,-90.020341,35.144378,
Abilene Christian University,Texas,9810,89988385,4650,651,-99.711594,32.466617,
Alvin Community College,Texas,600,21269810,3782,406,-95.240504,29.401008,
Amarillo College,Texas,1092,43503297,8183,624,-101.848527,35.193001,
Amberton University,Texas,4500,4935426.002,1648,84,-96.653504,32.859793,
American Commercial College,Texas,,4861682.003,161,,-100.462249,31.423717,
American Commercial College,Texas,,4861682.003,220,17,-101.860391,33.563306,
American Commercial College,Texas,,4861682.003,188,,-99.737798,32.445472,
American Commercial College of Texas,Texas,,4861682.003,89,,-102.340009,31.900872,
ATI Technical Training Center,Texas,,10620102,181,,-96.845358,32.82875,
Angelina College,Texas,1092,17738568,4187,433,-94.73163,31.28736,
Angelo State University,Texas,7620,57716886,6220,580,-100.466057,31.44337,
Arlington Baptist College,Texas,3150,1751196.292,227,46,-97.15711,32.735981,
Arlington Career Institute,Texas,,1762680.003,283,,-97.052907,32.771749,
Art Institute of Houston,Texas,11835,21587936,1679,221,-95.470828,29.746529,
Austin College,Texas,14785,44420825,1257,314,-96.595146,33.647809,
Austin Community College,Texas,3384,101557106,26135,1110,-97.710973,30.322263,
Austin Presbyterian Theological Seminary,Texas,,10458167,296,69,-97.737748,30.291717,
Baldwin Beauty School 5,Texas,,348926.003,,,-97.784429,30.242107,
Baptist Health System School of Health Professions,Texas,1584,,3,,36,-98.569337,29.517041
Baptist Missionary Association Theological Seminary,Texas,2100,685406.002,50,16,-95.253806,31.978784,
Texas A & M University System Health Science Center,Texas,9873,83893897,507,971,-96.328397,30.63775,
Baylor College of Medicine,Texas,,962259445,1186,7229,-95.39712,29.7115,
Baylor University,Texas,9870,285863000,13334,2352,-97.118418,31.545355,
Coastal Bend College,Texas,1200,15606180,3080,289,-97.75644,28.43541,
Blinn College,Texas,2400,42986163,11352,882,-96.40732,30.158797,
Remington College-Dallas Campus,Texas,,4044897.003,407,59,-96.654624,32.860497,
Bradford School of Business,Texas,,2117345.003,196,,-95.455049,29.729694,
Brazosport College,Texas,2010,15647717,3686,367,-95.408012,29.044817,
Brookhaven College,Texas,2130,27320484,7381,1235,-96.849245,32.925365,
Capitol City Trade and Technical School,Texas,,2479135.003,283,,-97.744784,30.25499,
Capitol City Careers,Texas,,934394.003,103,,-97.838671,30.236995,
Cedar Valley College,Texas,2130,14874718,2977,511,-96.771007,32.625715,
Central Texas College,Texas,2050,64122519,14636,2155,-97.80895,31.11914,
Charles and Sues School of Hair Design,Texas,,543257.003,31,,-96.339809,30.652384,
Cisco Junior College,Texas,834,9653509.001,2636,210,-98.985681,32.401694,
Clarendon College,Texas,608,4701806.491,837,105,-100.89869,34.93979,
Concordia University at Austin,Texas,11500,10594098,770,140,-97.838185,30.419719,
Conlee's College of Cosmetology,Texas,,138418.003,33,,-99.150339,30.054562,
North Central Texas College,Texas,1176,16945879,4257,369,-97.164197,33.616222,
Texas A & M University-Corpus Christi,Texas,6096,72062574,6604,856,-97.331866,27.718628,
Cosmetology Career Center LLC,Texas,,402730.003,48,,-96.84311,32.97366,
Court Reporting Institute-Wheeler Institute of Texas,Texas,5625,2809748.003,463,43,-96.865193,32.821696,
Dallas Baptist University,Texas,8700,30431957,3921,301,-96.951501,32.711493,
Dallas Christian College,Texas,5440,3280841.002,253,79,-96.886978,32.914412,
Dallas County Community College District,Texas,,43661752,,,-96.793838,32.766394,
Dallas Institute of Funeral Service,Texas,7000,1162285.002,,,-96.682784,32.771349,
Dallas Theological Seminary,Texas,,22458380,1585,398,-96.779959,32.79364,
University of Dallas,Texas,14354,50276872,3211,621,-96.91782,32.844409,
Del Mar College,Texas,1200,55367587,9968,1116,-97.40765,27.76741,
DeVry University-Texas,Texas,7778,31208477,3033,389,-97.011434,32.933612,
Career Point Institute,Texas,,6045209.003,377,,-98.542949,29.484377,
East Texas Baptist University,Texas,7200,19912157,1301,246,-94.372283,32.555054,
Texas A & M University-Texarkana,Texas,6576,12992598,1152,108,-94.10398,33.49561,
Texas A & M University-Commerce,Texas,8460,68430548,7908,1009,-95.908757,33.238126,
Eastfield College,Texas,2130,25346498,7533,1036,-96.656924,32.814289,
El Centro College,Texas,2130,23492299,4187,848,-96.804869,32.779477,
El Paso Community College,Texas,1100,95905973,18680,2749,-106.365194,31.752699,
Western Technical College,Texas,8100,3517603.003,387,46,-106.425265,31.879005,
Western Technical College,Texas,6678,2693066.003,317,41,-106.320281,31.674485,
Episcopal Theological Seminary of the Southwest,Texas,,6042923.002,114,41,-97.732916,30.293782,
Exposito School of Hair Design Ltd,Texas,,331183.003,53,,-101.880705,35.183147,
Art Institute of Dallas,Texas,12150,19208965,1532,176,-96.768175,32.87187,
Fort Worth Beauty School,Texas,,405950.003,130,,-97.434716,32.72056,
Frank Phillips College,Texas,720,6445801.001,1222,150,-101.409627,35.656931,
Franklin Beauty School,Texas,,540715.003,116,,-95.335086,29.706954,
Galveston College,Texas,480,13466380.06,2223,288,-94.808395,29.285186,
Grayson County College,Texas,2435,17189673,3338,308,-96.631849,33.703221,
Hallmark Institute of Technology,Texas,,5734265.003,,,-98.568492,29.537879,
Hardin-Simmons University,Texas,8700,36226061,2291,355,-99.73489,32.47492,
Trinity Valley Community College,Texas,1920,21069701,3620,365,-95.85723,32.19511,
Hill College,Texas,970,11731788,2448,251,-97.087794,32.010309,
Houston Baptist University,Texas,7152,28365691,2362,296,-95.51529,29.697975,
University of Houston-Clear Lake,Texas,6096,59349605,7114,583,-95.106535,29.577438,
Houston Community College System,Texas,1488,173180979,37882,4706,-95.376868,29.741972,
University of Houston-Downtown,Texas,7620,48347433,8712,746,-95.359598,29.763807,
University of Houston-Victoria,Texas,6096,14329202,1526,193,-96.974846,28.81632,
University of Houston,Texas,6096,369037573,32651,3739,-95.34374,29.72037,
Howard College,Texas,768,19522389,2252,366,-101.451889,32.252018,
Howard Payne University,Texas,8400,20169619,1496,255,-98.984967,31.716277,
Huston-Tillotson University,Texas,,11290795,547,173,-97.721209,30.264592,
University of the Incarnate Word,Texas,11850,46608885,3637,459,-98.463835,29.465779,
International Business College,Texas,,4675331.003,434,,-106.30812,31.71689,
ITT Technical Institute,Texas,8073,4780909.003,400,38,-97.10661,32.76017,
ITT Technical Institute,Texas,8073,6604822.003,536,55,-95.539407,29.734045,
Jacksonville College-Main Campus,Texas,3450,2381749.002,267,54,-95.279451,31.965809,
Jarvis Christian College,Texas,5200,10583866,519,142,-88.74345,32.35077,
K D Studio,Texas,6950,1318411.003,134,35,-96.841688,32.807668,
Kilgore College,Texas,720,26358153.41,4115,356,-94.872022,32.376912,
Lamar University,Texas,6672,106033993,14461,1676,-94.24437,29.98823,
Laredo Beauty College Inc,Texas,,12314260,123,,-99.480408,27.523336,
Laredo Community College,Texas,1680,36419913.81,7457,626,-99.51889,27.50876,
Texas A & M International University,Texas,7620,40430523,3209,382,-99.431025,27.571474,
Lee College,Texas,960,31792895,5906,674,-94.975316,29.730715,
LeTourneau University,Texas,11570,32109125,2805,363,-94.731013,32.464189,
Lincoln Technical Institute,Texas,,4118356.003,352,,-97.056051,32.702997,
Lon Morris College,Texas,5900,11794425.51,338,83,-95.276476,31.955564,
Lubbock Hair Academy,Texas,,,3,,,-101.877133,33.563371
Lubbock Christian University,Texas,8760,20233263,1462,214,-101.933959,33.577768,
College of the Mainland,Texas,1074,26909022,3333,588,-95.002736,29.394197,
University of Mary Hardin-Baylor,Texas,7950,30015714,2566,386,-97.463299,31.065231,
McLennan Community College,Texas,1944,28433999,5589,546,-97.174344,31.591147,
McMurry University,Texas,8670,24857483,1339,223,-99.74791,32.43216,
Covenant School of Nursing and Allied Health,Texas,,1555761.002,128,,-101.945745,33.576877,
Metroplex Beauty School,Texas,,231855.003,79,,-96.599269,32.771754,
Midland College,Texas,700,31559962,4733,759,-102.109237,32.026663,
Midwestern State University,Texas,7620,50149905,5765,1063,-98.518511,33.877642,
Mims Classic Beauty College,Texas,,262679.003,60,,-98.507879,29.494895,
Wade College,Texas,6750,1715444.003,171,16,-96.820732,32.800031,
Southern Careers Institute Inc,Texas,,804091.003,135,,-97.752837,30.239925,
Mountain View College,Texas,2130,18970206,5121,807,-96.905032,32.720517,
National Institute of Technology,Texas,,6324250.003,1452,,-98.541016,29.488252,
International Beauty College,Texas,,403235.003,102,,-96.980703,32.829597,
Navarro College,Texas,800,19631412,3611,374,-96.496459,32.07563,
Neilson Beauty College,Texas,,352401.003,74,,-96.829124,32.743067,
North Harris Montgomery Community College District,Texas,1656,96947639,22113,4184,-95.490077,30.188408,
North Lake College,Texas,2130,26028563.19,7030,1181,-96.962124,32.874818,
University of North Texas,Texas,6840,271506482,26493,3663,-97.13098,33.21656,
Northeast Texas Community College,Texas,1260,11027807,1956,246,-94.88186,33.10488,
Oblate School of Theology,Texas,,6014978.002,144,59,-98.503676,29.50433,
Ocean Corporation,Texas,,2201756.003,128,,-95.570258,29.665011,
Odessa College,Texas,576,29920618,4777,729,-102.381351,31.868082,
Ogle School of Hair Skin and Nails,Texas,,3128196.003,206,,-97.141,32.721316,
Olges School of Hair Design,Texas,,4998511.003,157,,-97.418277,32.682714,
Our Lady of the Lake University-San Antonio,Texas,11150,39601368,3564,591,-98.543109,29.424924,
Panola College,Texas,432,11088610,1522,174,-94.356025,32.158297,
Paris Junior College,Texas,1950,17376218,2906,261,-95.531218,33.653422,
Paul Quinn College,Texas,4080,9886415.002,670,116,-96.757078,32.675684,
Prairie View A & M University,Texas,7620,88929296,6271,917,-95.991047,30.092641,
Ranger College,Texas,600,4548032.001,827,113,-98.683013,32.458176,
Redstone Institute-Houston,Texas,4992,5205110.003,369,,-95.28256,29.657858,
Rice University,Texas,15350,744747212,4274,2123,-95.39379,29.720694,
Richland College,Texas,2130,41663934.72,11329,1759,-96.735248,32.921277,
Saint Edward's University,Texas,11438,41496876,3669,595,-97.7586,30.232264,
University of St Thomas,Texas,11700,33818808,3345,376,-95.391186,29.738299,
Sam Houston State University,Texas,6096,108505834,12215,1265,-95.54926,30.71601,
San Antonio College,Texas,2208,148791170,33001,1687,-98.499247,29.445643,
San Jacinto College-Central Campus,Texas,1920,91858788,20133,1910,-95.114811,29.66384,
Schreiner University,Texas,10990,20482180,803,210,-99.132303,30.028119,
Seguin Beauty School,Texas,,175018.003,23,,-97.964522,29.568987,
St Marys University,Texas,11500,65204323,4065,662,-98.562169,29.452664,
South Plains College,Texas,960,28768270,6468,647,-102.367564,33.578498,
South Texas Barber College Inc,Texas,,,3,,,-97.415632,27.754721
South Texas College of Law,Texas,,29576155,1220,169,-95.364938,29.753609,
South Texas Vo-Tech Institute,Texas,,1570461.003,215,,-97.97004,26.172542,
South Texas Vocational Technical Institute-McAllen,Texas,,2499834.003,337,,-98.242491,26.233274,
Southern Methodist University,Texas,16422,323444000,10361,2275,-96.785739,32.844315,
Southwest School of Business and Technical Careers-San Antonio,Texas,,2159506.003,145,,-98.51694,29.368214,
Southwest Institute of Technology,Texas,9748,1254444.003,92,20,-97.838671,30.236995,
Southwest Texas Junior College,Texas,1997,18659555,3397,418,-99.753901,29.218406,
Southwestern Assemblies of God University,Texas,5320,16357143,1672,193,-96.854948,32.403705,
Southwestern University,Texas,15000,58515845,1254,403,-97.667961,30.633408,
Stephen F Austin State University,Texas,7620,121077168,11919,1312,-94.58546,31.58562,
Texas State University-San Marcos,Texas,7620,217492772,21769,2667,-97.935664,29.887753,
Southwestern Adventist University,Texas,8962,13522362,1149,165,-97.326542,32.396285,
Southwestern Baptist Theological Seminary,Texas,1600,38509901,3142,,-97.34702,32.684653,
Southwestern Christian College,Texas,3950,6509461.132,187,70,-96.28505,32.736227,
Sul Ross State University,Texas,6096,36138701,2965,454,-103.653676,30.362887,
Tarleton State University,Texas,6672,64846458,7433,925,-98.213343,32.21502,
Temple College,Texas,2000,16034354,3261,314,-97.350223,31.071511,
Texas State Technical College-System,Texas,,2767311.001,,,-97.084263,31.635511,
Texarkana College,Texas,1304,18520740,4010,243,-94.08026,33.44237,
Texas A & M University-Kingsville,Texas,7620,69939744,5843,936,-97.882501,27.525927,
Texas A & M University at Galveston,Texas,7620,28380055,1288,294,-94.79781,29.3227,
Texas A & M University,Texas,8760,1104562671,43817,9857,-96.339247,30.616769,
The Texas A & M University System Office,Texas,,38540103,,,-96.244842,30.551677,
The University of Texas at Austin,Texas,8760,4618617648,153214,54799,-97.730923,30.286837,
Texas Chiropractic College Foundation Inc,Texas,14100,7582760.002,435,101,-95.150243,29.665714,
Texas Christian University,Texas,10950,146038000,7551,1499,-97.36045,32.711704,
Texas College,Texas,4800,7308284.002,294,112,-95.310923,32.375931,
University of North Texas Health Science Center at Fort Worth,Texas,18288,96605402,705,1017,-97.368422,32.748457,
Texas Lutheran University,Texas,11374,23889882,1547,310,-97.981032,29.569406,
Texas School of Business Inc,Texas,,8921704.003,815,,-95.412385,29.983425,
Texas Southern University,Texas,6096,87305092,6522,985,-95.363292,29.725018,
The University of Texas System Office,Texas,,18174018,,,-97.744052,30.268446,
Texas Tech University,Texas,7620,356701539,24249,5909,-101.870685,33.584418,
Texas Vocational Schools Inc,Texas,,1388969.003,185,,-96.985061,28.813969,
Texas Wesleyan University,Texas,8500,30275543,3049,483,-97.280991,32.732483,
Texas Woman's University,Texas,6096,99449494,8624,1161,-97.12989,33.22638,
Trinity University,Texas,15120,147175016,2515,701,-98.48262,29.46497,
Texas State Technical College-Harlingen,Texas,4905,33038880,3353,557,-97.708217,26.224143,
Texas State Technical College-West Texas,Texas,5580,19518360,1224,229,-100.473991,32.46253,
Texas Tech University Health Sciences Center,Texas,5810,372848890,1650,3776,-101.887045,33.592279,
Tyler Junior College,Texas,1530,39263577,8447,802,-95.279143,32.332367,
University of Houston-System Administration,Texas,,56143967,,,-95.34374,29.72037,
Universal Technical Institute of Texas Inc,Texas,,16197930,1336,,-95.411346,29.989926,
University of Cosmetology Arts and Sciences,Texas,,674462.003,315,,-98.217237,26.278838,
Vernon College,Texas,1320,13375159,2097,333,-99.316971,34.159482,
Victoria Beauty College Inc,Texas,,481301.003,67,,-96.991095,28.807877,
Victoria College,Texas,3210,19159184,3801,340,-96.982009,28.814893,
International Renowned Beauty Academy,Texas,,,3,,,-97.273929,32.740639
Wayland Baptist University,Texas,7050,28001015,4586,300,-101.729495,34.186725,
Weatherford College,Texas,2400,15556716,2692,470,-97.79266,32.738899,
West Texas A & M University,Texas,8235,68925074,6651,785,-101.915841,34.979879,
Western Texas College,Texas,900,7625062.001,1257,201,-100.919205,32.682798,
Wharton County Junior College,Texas,1560,19730966,4454,468,-96.085216,29.322794,
Wiley College,Texas,4500,12562756,578,127,-94.37555,32.538357,
American Institute of Medical-Dental Technology,Utah,,2035818.003,244,,-111.667995,40.261135,
Bridgerland Applied Technology College,Utah,3564,9658454.001,407,,-111.849069,41.757768,
Brigham Young University,Utah,4250,740156787,32731,5569,-111.64925,40.25083,
Brigham Young University-Hawaii,Hawaii,2875,60207969,2276,363,-157.924762,21.645411,
Utah Career College,Utah,8100,2299741.003,272,52,-111.941968,40.609504,
Cameo College of Essential Beauty,Utah,,,-3,,,-111.88803,40.64594
College of Eastern Utah,Utah,4576,22028595,2682,257,-110.800867,39.606737,
Sherman Kendall's Academy-Sugarhouse,Utah,,264304.003,52,,-111.871401,40.722421,
Sherman Kendalls Academy of Beauty Arts & Sciences,Utah,,304744.003,57,,-111.86607,40.617929,
Davis Applied Technology College,Utah,3822,10165648,959,,-111.926338,41.030032,
Dixie State College of Utah,Utah,4992,27543091,5881,539,-113.568399,37.104269,
Evans Hairstyling College,Utah,,201094.003,41,,-113.063567,37.680498,
Evans Hairstyling College,Utah,5000,268512.003,31,,-113.563057,37.108163,
Paul Mitchell the School,Utah,,327035.003,54,,-111.835302,40.665919,
Premier Hair Academy,Utah,,1976359.003,,,-111.986665,40.682884,
Eagle Gate College,Utah,,143194.003,58,,-111.903044,40.649603,
